serial,name,outlet_name,address_1,address_2,city,state,zip,pin,modes,interval,txpower,ibeacon,eddystoneuid,eddystoneurl
000010,1296881,GREAT MALL GFV CHIPOTLE,447  GREAT MALL DR,CHIPOTLE,MILPITAS,CA,950358041,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000000ABE,E7F82FC8513BE02469B6AE00000000000a,E7017261646975736E6574776F726B7307
000011,1171858,GREAT MALL GFV CHIPOTLE,447  GREAT MALL DR,CHIPOTLE,MILPITAS,CA,950358041,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000000BBE,E7F82FC8513BE02469B6AE00000000000b,E7017261646975736E6574776F726B7307
000012,1080559,GREAT MALL GFV FOOD COURT,447  GREAT MALL DR,CENTURY LEFT SIDE,MILPITAS,CA,950358041,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000000CBE,E7F82FC8513BE02469B6AE00000000000c,E7017261646975736E6574776F726B7307
000013,1080558,GREAT MALL GFV FOOD COURT,447  GREAT MALL DR,CENTURY RIGHT SIDE,MILPITAS,CA,950358041,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000000DBE,E7F82FC8513BE02469B6AE00000000000d,E7017261646975736E6574776F726B7307
000014,1080551,GREAT MALL GFV BURLINGTON,447  GREAT MALL DR,BURLINGTON COAT FAC,MILPITAS,CA,950358041,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000000EBE,E7F82FC8513BE02469B6AE00000000000e,E7017261646975736E6574776F726B7307
000015,1171857,GREAT MALL GFV STARBUCKS,447  GREAT MALL DR,STARBUCKS,MILPITAS,CA,950358041,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000000FBE,E7F82FC8513BE02469B6AE00000000000f,E7017261646975736E6574776F726B7307
000016,1146611,GREAT MALL GFV CENTURY,447  GREAT MALL DR,CENTURY LEFT SIDE,MILPITAS,CA,950358041,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000010BE,E7F82FC8513BE02469B6AE000000000010,E7017261646975736E6574776F726B7307
000017,1986107,STONERIDGE MALL,1    STONERIDGE MALL RD,TOUCH SCREEN,PLEASANTON,CA,945883281,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000011BE,E7F82FC8513BE02469B6AE000000000011,E7017261646975736E6574776F726B7307
000018,3977623,LIVERMORE VALLEY PREMIUM,2774 PARAGON OUTLETS DR,I/S NIKE 20Z,LIVERMORE,CA,94551,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000012BE,E7F82FC8513BE02469B6AE000000000012,E7017261646975736E6574776F726B7307
000019,3977620,LIVERMORE VALLEY PREMIUM,2774 PARAGON OUTLETS DR,I/S HURLEY 20Z,LIVERMORE,CA,94551,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000013BE,E7F82FC8513BE02469B6AE000000000013,E7017261646975736E6574776F726B7307
000020,1171855,GREAT MALL CCIV MARSHALLS,447  GREAT MALL DR,MARSHALLS,MILPITAS,CA,950358041,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000014BE,E7F82FC8513BE02469B6AE000000000014,E7017261646975736E6574776F726B7307
000021,1171853,GREAT MALL GFV NIKE,447  GREAT MALL DR,NIKE,MILPITAS,CA,950358041,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000015BE,E7F82FC8513BE02469B6AE000000000015,E7017261646975736E6574776F726B7307
000022,1171859,GREAT MALL GFV STARBUCKS,447  GREAT MALL DR,STARBUCKS,MILPITAS,CA,950358041,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000016BE,E7F82FC8513BE02469B6AE000000000016,E7017261646975736E6574776F726B7307
000023,1220744,STONERIDGE MALL FS,1    STONERIDGE MALL RD,GFV DOWNSTAIRS BY I,PLEASANTON,CA,945883281,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000017BE,E7F82FC8513BE02469B6AE000000000017,E7017261646975736E6574776F726B7307
000024,1296883,GREAT MALL CCIV MARSHALLS,447  GREAT MALL DR,MARSHALLS,MILPITAS,CA,950358041,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000018BE,E7F82FC8513BE02469B6AE000000000018,E7017261646975736E6574776F726B7307
000025,3977608,LIVERMORE VALLEY PREMIUM,2774 PARAGON OUTLETS DR,I/S HELZBERG DIAMON,LIVERMORE,CA,94551,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000019BE,E7F82FC8513BE02469B6AE000000000019,E7017261646975736E6574776F726B7307
000026,4837971,LIVERMORE VALLEY PREMIUM,2774 PARAGON OUTLETS DR,NEAR UGG STORE PHAS,LIVERMORE,CA,945514204,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000001ABE,E7F82FC8513BE02469B6AE00000000001a,E7017261646975736E6574776F726B7307
000027,3977611,LIVERMORE VALLEY PREMIUM,2774 PARAGON OUTLETS DR,I/S OUTLETS LUCY MU,LIVERMORE,CA,94551,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000001BBE,E7F82FC8513BE02469B6AE00000000001b,E7017261646975736E6574776F726B7307
000028,3977621,LIVERMORE VALLEY PREMIUM,2774 PARAGON OUTLETS DR,I/S VAN HEUSEN 20Z,LIVERMORE,CA,94551,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000001CBE,E7F82FC8513BE02469B6AE00000000001c,E7017261646975736E6574776F726B7307
000029,3977622,LIVERMORE VALLEY PREMIUM,2774 PARAGON OUTLETS DR,I/S NEW BALANCE 20Z,LIVERMORE,CA,94551,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000001DBE,E7F82FC8513BE02469B6AE00000000001d,E7017261646975736E6574776F726B7307
000030,8291425,GREAT MALL GFV BURLINGTN,447  GREAT MALL DR,BURLINGTON COAT FAC,MILPITAS,CA,950358041,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000001EBE,E7F82FC8513BE02469B6AE00000000001e,E7017261646975736E6574776F726B7307
000031,1233896,GREAT MALL GFV CHAMPS,447  GREAT MALL DR,CHAMPS,MILPITAS,CA,950358041,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000001FBE,E7F82FC8513BE02469B6AE00000000001f,E7017261646975736E6574776F726B7307
000032,3977615,LIVERMORE VALLEY PREMIUM,2774 PARAGON OUTLETS DR,O/S HURLEY MULTI,LIVERMORE,CA,94551,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000020BE,E7F82FC8513BE02469B6AE000000000020,E7017261646975736E6574776F726B7307
