route,outlet,outlet_name,address_1,address_2,city,state,zip,serial,name,pin,modes,interval,txpower,ibeacon,eddystoneuid,eddystoneurl
401,1066231,1700 CALIFORNIA FS,1700 CALIFORNIA ST SUITE A,COI LOBBY,SAN FRANCISCO,CA,941094586,85,1066231−000085,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000055BE,E7F82FC8513BE02469B6AE000000000055,E7017261646975736E6574776F726B7307
401,4808753,WESTFIELD VALLEY FAIR MALL,2855 STEVENS CREEK BLVD,1 FL PIC I/S CAL PI,SANTA CLARA,CA,950506709,86,4808753−000086,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000056BE,E7F82FC8513BE02469B6AE000000000056,E7017261646975736E6574776F726B7307
401,3896162,SANTANA ROW PARK 1ALLEY,355  SANTANA ROW,ALLEY,SAN JOSE,CA,951282049,87,3896162−000087,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000057BE,E7F82FC8513BE02469B6AE000000000057,E7017261646975736E6574776F726B7307
401,4442083,PIER 39 GARAGE FS BOI,PIER 39,BOI 1ST LEVEL GARAG,SAN FRANCISCO,CA,941331007,88,4442083−000088,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000058BE,E7F82FC8513BE02469B6AE000000000058,E7017261646975736E6574776F726B7307
401,4442077,PIER 39 GARAGE FS BOI,PIER 39,BOI 1ST FLOOR,SAN FRANCISCO,CA,941331007,89,4442077−000089,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000059BE,E7F82FC8513BE02469B6AE000000000059,E7017261646975736E6574776F726B7307
403,3929748,SANTA CLARA UNIVERSITY,500  EL CAMINO REAL,BLDG 307 SWIG HALL,SANTA CLARA,CA,950530001,90,3929748−000090,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000005ABE,E7F82FC8513BE02469B6AE00000000005a,E7017261646975736E6574776F726B7307
404,4103337,CALIFORNIAS GREAT AMERICA,2401 AGNEW RD,EE ASSOCIATED SERVI,SANTA CLARA,CA,950541201,91,4103337−000091,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000005BBE,E7F82FC8513BE02469B6AE00000000005b,E7017261646975736E6574776F726B7307
402,1171852,GREAT MALL GFV BBBEYOND,447  GREAT MALL DR,BED BATH BEYOND,MILPITAS,CA,950358041,92,1171852−000092,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000005CBE,E7F82FC8513BE02469B6AE00000000005c,E7017261646975736E6574776F726B7307
402,3130935,GREAT MALL GFV 4EVER 21,447  GREAT MALL DR,FOREVER 21,MILPITAS,CA,950358041,93,3130935−000093,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000005DBE,E7F82FC8513BE02469B6AE00000000005d,E7017261646975736E6574776F726B7307
405,8593667,GOLDEN BEAR MOTEL FS COI,1620 SAN PABLO AVE,CANS VENDOR,BERKELEY,CA,947021393,94,8593667−000094,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000005EBE,E7F82FC8513BE02469B6AE00000000005e,E7017261646975736E6574776F726B7307
